"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.407978915E0,-2.797989368E0,-7.718905449E0,3.783912659E0,9.040367296E0
1.412996259E0,-4.017186165E0,-7.690109253E0,-2.242339134E0,8.961230373E0
1.418013602E0,-4.768424988E0,-6.890353203E0,-7.933949471E0,1.153960131E1
1.423030946E0,-5.317065716E0,-5.884476662E0,-1.328165245E1,1.546934211E1
1.428048290E0,-6.095079899E0,-5.609909058E0,-1.869762039E1,2.045047889E1
1.433065634E0,-6.360190392E0,-5.697601318E0,-2.423033142E1,2.569092531E1
1.438082977E0,-5.497133255E0,-4.111506462E0,-3.023600578E1,3.100546734E1
1.443100321E0,-4.460140228E0,-1.723875999E0,-3.670914841E1,3.701926763E1
1.448117665E0,-4.227178097E0,-1.603000164E-1,-4.352158356E1,4.372668483E1
1.453135009E0,-4.497239113E0,4.755053520E-1,-4.961793518E1,4.982359638E1
1.458152352E0,-5.190688610E0,1.672797203E-1,-5.415382004E1,5.440227436E1
1.463169696E0,-6.286712170E0,-9.659223557E-1,-5.721207809E1,5.756455190E1
1.468187040E0,-6.422894955E0,-1.723395228E0,-5.850933075E1,5.888603787E1
1.473204384E0,-5.803728104E0,-1.851776600E0,-5.794149017E1,5.826086697E1
1.478221727E0,-5.141329765E0,-2.013509512E0,-5.596215820E1,5.623389230E1
1.483239071E0,-4.879019737E0,-2.382834435E0,-5.287049484E1,5.314858379E1
1.488256415E0,-5.105281830E0,-3.094737053E0,-4.903705978E1,4.939913493E1
1.493273759E0,-5.520066738E0,-4.086876392E0,-4.433983231E1,4.486863520E1
1.498291102E0,-6.003106594E0,-5.229746819E0,-3.847577667E1,3.929087593E1
1.503308446E0,-6.956407547E0,-6.116427422E0,-3.203264236E1,3.334505162E1
1.508325790E0,-7.748097897E0,-6.962028503E0,-2.478474808E1,2.688469080E1
1.513343134E0,-7.793706894E0,-7.991904259E0,-1.684165573E1,2.020529061E1
1.518360477E0,-7.112086296E0,-9.500442505E0,-9.491025925E0,1.519604397E1
1.523377821E0,-2.346680641E0,-8.083762169E0,1.589346313E1,1.798489064E1
1.528395165E0,3.543187618E0,-1.009880733E1,3.726045227E1,3.876701422E1
1.533412509E0,2.800227880E0,-8.056139946E0,4.442228317E1,4.523363692E1
1.538429852E0,4.090555668E0,-5.727886200E0,5.149530029E1,5.197410200E1
1.543447196E0,6.118238926E0,-5.329572678E0,6.009603882E1,6.064133140E1
1.548464540E0,4.100796700E0,-5.653815746E0,6.332218170E1,6.370620740E1
1.553481884E0,6.105758667E0,-4.222324371E0,6.734122467E1,6.774916126E1
1.558499227E0,7.943051815E0,-4.179384232E0,7.241742706E1,7.297152230E1
1.563516571E0,7.089306831E0,-6.198645115E0,7.014519501E1,7.077450004E1
1.568533915E0,6.607967854E0,-7.233168125E0,6.120301437E1,6.198219848E1
1.573551259E0,8.490357399E0,-5.714588642E0,5.331431961E1,5.428774602E1
1.578568602E0,9.337001801E0,-3.835365295E0,4.760379791E1,4.866221538E1
